iter	Passed	Remaining
0	157	157020
1	162	80959
2	167	55588
3	172	43008
4	177	35380
5	182	30281
6	188	26729
7	193	24031
8	199	21917
9	203	20166
10	208	18762
11	213	17600
12	218	16611
13	223	15764
14	228	14996
15	233	14368
16	238	13784
17	242	13234
18	247	12764
19	252	12365
20	257	11986
21	261	11632
22	266	11322
23	271	11021
24	275	10741
25	279	10482
26	284	10246
27	288	10021
28	293	9812
29	297	9623
30	302	9441
31	306	9266
32	310	9112
33	315	8968
34	319	8822
35	324	8690
36	329	8570
37	333	8437
38	337	8313
39	341	8186
40	345	8075
41	349	7963
42	353	7858
43	356	7756
44	361	7664
45	365	7581
46	369	7494
47	373	7407
48	377	7329
49	382	7261
50	386	7200
51	390	7128
52	395	7071
53	400	7023
54	405	6961
55	409	6895
56	413	6838
57	417	6778
58	421	6719
59	425	6663
60	429	6617
61	434	6571
62	438	6520
63	442	6475
64	446	6423
65	450	6373
66	454	6322
67	457	6275
68	461	6232
69	465	6190
70	469	6145
71	474	6119
72	479	6084
73	483	6044
74	486	6001
75	490	5966
76	494	5932
77	498	5894
78	502	5855
79	506	5824
80	511	5798
81	515	5771
82	519	5740
83	523	5708
84	527	5681
85	531	5653
86	536	5629
87	540	5606
88	545	5581
89	548	5549
90	552	5516
91	555	5486
92	559	5460
93	563	5432
94	567	5405
95	571	5377
96	575	5353
97	579	5329
98	583	5310
99	586	5282
100	591	5264
101	595	5245
102	599	5223
103	603	5197
104	607	5181
105	613	5174
106	617	5155
107	621	5133
108	625	5115
109	629	5096
110	633	5074
111	637	5050
112	641	5034
113	645	5017
114	649	4996
115	652	4975
116	656	4956
117	660	4938
118	664	4916
119	667	4897
120	671	4879
121	675	4860
122	678	4840
123	682	4819
124	686	4803
125	690	4788
126	694	4771
127	697	4752
128	701	4733
129	705	4718
130	708	4702
131	712	4684
132	715	4666
133	719	4648
134	723	4635
135	727	4621
136	730	4604
137	734	4589
138	738	4576
139	742	4561
140	746	4547
141	750	4534
142	754	4523
143	758	4508
144	761	4493
145	766	4481
146	770	4471
147	774	4457
148	777	4443
149	782	4432
150	786	4421
151	790	4407
152	794	4396
153	798	4384
